make,model,price_usd,year,condition,mileage_kilometers,fuel_type,volume_cm3,color,transmission,drive_unit,segment,car_age,mileage_per_year,engine_volume_liters,brand_model
mazda,6,18900,2013,with mileage,118000.0,petrol,2500.0,white,auto,front-wheel drive,d,13,9076.923076923076,2.5,mazda 6
mazda,6,3900,2004,with mileage,261855.7114,petrol,2300.0,silver,auto,front-wheel drive,d,22,11902.532336363636,2.3,mazda 6
mazda,6,8700,2011,with mileage,128000.0,petrol,1800.0,black,mechanics,front-wheel drive,d,15,8533.333333333334,1.8,mazda 6
mazda,6,7500,2008,with mileage,200000.0,petrol,1800.0,burgundy,mechanics,front-wheel drive,d,18,11111.111111111111,1.8,mazda 6
mazda,6,5500,2006,with mileage,167000.0,petrol,2300.0,black,mechanics,front-wheel drive,d,20,8350.0,2.3,mazda 6
mazda,6,18500,2014,with mileage,86000.0,petrol,2500.0,gray,auto,front-wheel drive,d,12,7166.666666666667,2.5,mazda 6
mazda,6,7500,2008,with mileage,238000.0,petrol,1800.0,silver,mechanics,front-wheel drive,d,18,13222.222222222223,1.8,mazda 6
mazda,6,4850,2003,with mileage,300000.0,petrol,2300.0,silver,mechanics,front-wheel drive,d,23,13043.478260869566,2.3,mazda 6
mazda,6,4400,2003,with mileage,209000.0,petrol,2300.0,blue,auto,front-wheel drive,d,23,9086.95652173913,2.3,mazda 6
mazda,6,4100,2003,with mileage,264000.0,petrol,2300.0,gray,auto,front-wheel drive,d,23,11478.260869565218,2.3,mazda 6
mazda,6,8500,2008,with mileage,230000.0,petrol,2000.0,burgundy,auto,rear drive,d,18,12777.777777777777,2.0,mazda 6
mazda,6,5500,2007,with mileage,220000.0,petrol,1800.0,black,mechanics,front-wheel drive,d,19,11578.947368421053,1.8,mazda 6
mazda,6,9200,2008,with mileage,164000.0,petrol,2000.0,other,auto,front-wheel drive,d,18,9111.111111111111,2.0,mazda 6
mazda,6,2500,2003,with damage,36300.0,diesel,2000.0,other,mechanics,front-wheel drive,d,23,1578.2608695652175,2.0,mazda 6
mazda,6,6450,2007,with mileage,187000.0,petrol,2300.0,silver,auto,front-wheel drive,d,19,9842.105263157895,2.3,mazda 6
mazda,6,13200,2013,with mileage,145500.0,petrol,2000.0,red,auto,front-wheel drive,d,13,11192.307692307691,2.0,mazda 6
